noise,p_noise,instances,p_instances,smallest_group,biggest_group,average_size,silhouette_score,mask,metric,min_cluster_samples,min_samples,cluster_selection_method
96,0.64,54,0.36,15,23,18.0,0.49233407655145134,1,euclidean,5,3,leaf
96,0.64,54,0.36,15,23,18.0,0.49233407655145134,1,euclidean,5,3,eom
106,0.7066666666666667,44,0.29333333333333333,10,20,14.666666666666666,0.5535712118821903,1,euclidean,5,4,leaf
106,0.7066666666666667,44,0.29333333333333333,10,20,14.666666666666666,0.5535712118821903,1,euclidean,5,4,eom
116,0.7733333333333333,34,0.22666666666666666,6,18,11.333333333333334,0.6014948601960758,1,euclidean,5,5,leaf
116,0.7733333333333333,34,0.22666666666666666,6,18,11.333333333333334,0.6014948601960758,1,euclidean,5,5,eom
81,0.54,69,0.46,14,38,23.0,0.5705732864642228,1,dtw,5,3,leaf
81,0.54,69,0.46,14,38,23.0,0.5705732864642228,1,dtw,5,3,eom
78,0.52,72,0.48,14,44,24.0,0.5177651693198173,1,dtw,5,4,leaf
78,0.52,72,0.48,14,44,24.0,0.5177651693198173,1,dtw,5,4,eom
88,0.5866666666666667,62,0.41333333333333333,9,39,20.666666666666668,0.5619346300218654,1,dtw,5,5,leaf
88,0.5866666666666667,62,0.41333333333333333,9,39,20.666666666666668,0.5619346300218654,1,dtw,5,5,eom
96,0.64,54,0.36,15,23,18.0,0.49233407655145134,1,euclidean,10,3,leaf
68,0.4533333333333333,82,0.5466666666666666,16,66,41.0,0.40831462983901223,1,euclidean,10,3,eom
106,0.7066666666666667,44,0.29333333333333333,10,20,14.666666666666666,0.5535712118821903,1,euclidean,10,4,leaf
77,0.5133333333333333,73,0.4866666666666667,10,63,36.5,0.44395168028920073,1,euclidean,10,4,eom
122,0.8133333333333334,28,0.18666666666666668,10,18,14.0,0.5961008655693163,1,euclidean,10,5,leaf
122,0.8133333333333334,28,0.18666666666666668,10,18,14.0,0.5961008655693163,1,euclidean,10,5,eom
81,0.54,69,0.46,14,38,23.0,0.5705732864642228,1,dtw,10,3,leaf
81,0.54,69,0.46,14,38,23.0,0.5705732864642228,1,dtw,10,3,eom
78,0.52,72,0.48,14,44,24.0,0.5177651693198173,1,dtw,10,4,leaf
78,0.52,72,0.48,14,44,24.0,0.5177651693198173,1,dtw,10,4,eom
62,0.41333333333333333,88,0.5866666666666667,14,74,44.0,0.58907990039633,1,dtw,10,5,leaf
62,0.41333333333333333,88,0.5866666666666667,14,74,44.0,0.58907990039633,1,dtw,10,5,eom
96,0.64,54,0.36,15,23,18.0,0.49233407655145134,1,euclidean,15,3,leaf
68,0.4533333333333333,82,0.5466666666666666,16,66,41.0,0.40831462983901223,1,euclidean,15,3,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,15,4,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,15,4,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,15,5,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,15,5,eom
72,0.48,78,0.52,17,61,39.0,0.417032844050302,1,dtw,15,3,leaf
72,0.48,78,0.52,17,61,39.0,0.417032844050302,1,dtw,15,3,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,15,4,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,15,4,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,15,5,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,15,5,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,3,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,3,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,4,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,4,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,5,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,euclidean,20,5,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,3,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,3,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,4,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,4,eom
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,5,leaf
150,1.0,0,0.0,150,150,150.0,0.0,1,dtw,20,5,eom
105,0.7,45,0.3,8,13,11.25,0.5348413549258055,2,euclidean,5,3,leaf
96,0.64,54,0.36,12,29,18.0,0.527427190114018,2,euclidean,5,3,eom
